a,b,c
1904,SAU,0
1904,ARE,0
1904,HRV,0
1904,DEU,0
1904,ARM,0
1904,SRB,0
1904,NGA,0
1904,IND,0
1904,BEL,0
1904,DZA,0
1904,JAM,0
1904,TTO,0
1904,COL,0
1904,LUX,0
1904,BWA,0
1904,TUN,0
1904,KOR,0
1904,PRK,0
1904,CHN,0
1904,BIH,0
1904,GUY,0
1904,ISR,0
1904,KAZ,0
1904,GEO,0
1904,KEN,0
1904,ISL,0
1904,HTI,0
1904,MYS,0
1904,IRQ,0
1904,CZE,0
1904,SVK,0
1904,BHS,0
1904,AUS,0
1904,PRY,0
1904,MNE,0
1904,IRL,0
1904,PRT,0
1904,GTM,0
1904,SRB,0
1904,TZA,0
1904,LBN,0
1904,KGZ,0
1904,LVA,0
1904,NLD,0
1904,VEN,0
1904,THA,0
1904,TGO,0
1904,PER,0
1904,EST,0
1904,SVN,0
1904,NPL,0
1904,CHN,0
1904,ZWE,0
1904,MNG,0
1904,MDA,0
1904,CIV,0
1904,FJI,0
1904,SEN,0
1904,DOM,0
1904,PHL,0
1904,EGY,0
1904,SGP,0
1904,NAM,0
1904,LIE,0
1904,WIF,0
1904,AUT,0
1904,BMU,0
1904,VNM,0
1904,VGB,0
1904,MKD,0
1904,SDN,0
1904,BHR,0
1904,GRD,0
1904,LKA,0
1904,MUS,0
1904,SRB,0
1904,HKG,0
1904,CYP,0
1904,PAN,0
1904,ZMB,0
1904,MCO,0
1904,MOZ,0
1904,SUR,0
1904,AFG,0
1904,BDI,0
1904,GAB,0
1904,ECU,0
1904,CRI,0
1904,DJI,0
1904,ERI,0
1904,BRB,0
1904,TON,0
1908,DNK,17
1908,FIN,30
1908,NOR,42
1908,NLD,16
1908,FRA,40
1908,ITA,8
1908,ESP,0
1908,AZE,0
1908,RUS,3
1908,BLR,0
1908,CMR,0
1908,USA,65
1908,HUN,20
1908,GRC,4
1908,AUS,0
1908,IRN,0
1908,CAN,52
1908,PAK,0
1908,RUS,0
1908,UZB,0
1908,TJK,0
1908,RUS,0
1908,JPN,0
1908,ETH,0
1908,CHE,0
1908,DEU,0
1908,SWE,84
1908,ZAF,2
1908,TUR,0
1908,BGR,0
1908,EGY,0
1908,GBR,368
1908,JOR,0
1908,ROU,0
1908,PRI,0
1908,MEX,0
1908,GHA,0
1908,MAR,0
1908,NZL,0
1908,DEU,21
